Repository,File,Line,Type,Severity,Description,Category
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/AclImpl.java","135","NotFoundException","error","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/AclImpl.java","138","NotFoundException","error","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/AclImpl.java","150","NotFoundException","error","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/AclImpl.java","153","NotFoundException","error","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/DefaultPermissionFactory.java","67","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/DefaultPermissionFactory.java","108","put","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/DefaultPermissionFactory.java","109","put","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/DefaultPermissionFactory.java","117","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/DefaultPermissionFactory.java","125","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/DefaultPermissionFactory.java","128","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/DefaultPermissionFactory.java","136","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/DefaultPermissionFactory.java","148","addDirtyRegion","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/DefaultPermissionGrantingStrategy.java","84","equals","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/DefaultPermissionGrantingStrategy.java","129","NotFoundException","error","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/SidRetrievalStrategyImpl.java","58","disableResizedPosting","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/SidRetrievalStrategyImpl.java","59","addDirtyRegion","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/SidRetrievalStrategyImpl.java","61","addDirtyRegion","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/SpringCacheBasedAclCache.java","65","getId","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/SpringCacheBasedAclCache.java","75","getId","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/SpringCacheBasedAclCache.java","96","getId","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/SpringCacheBasedAclCache.java","100","put","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/SpringCacheBasedAclCache.java","101","put","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/SpringCacheBasedAclCache.java","101","getId","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/SpringCacheBasedAclCache.java","105","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/SpringCacheBasedAclCache.java","109","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/domain/SpringCacheBasedAclCache.java","125","clear","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/AclClassIdUtils.java","46","getLogStream","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","194","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","203","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","212","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","273","disableResizedPosting","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","274","getTTL","info","Deprecated","Deprecated"
